('437189', 205.12738234396073)
('198678', 204.90935911421815)
('37016358', 203.91244503821025)
('762337', 203.81361119767234)
('762338', 203.81361119767234)
('40479583', 203.81361119767234)
('253796', 203.81361119767234)
('4171691', 203.81361119767234)
('4083100', 203.69833918226198)
('4182711', 203.6444414010766)
('4196141', 203.5762662047062)
('528325', 203.55502864802236)
('4340379', 203.55502864802236)
('501343', 203.55502864802236)
('195587', 203.42129723944328)
('4232691', 203.16436849106213)
('4232697', 203.16436849106213)
('313217', 203.16436849106213)
('4141360', 203.16436849106213)
('4154290', 203.16436849106213)
('45768480', 203.16436849106213)
('136497', 202.8082292666709)
('253797', 202.8082292666709)
('441267', 202.8082292666709)
('4197819', 202.8082292666709)
('4253210', 202.8082292666709)
('4267417', 202.8082292666709)
('3048264', 202.8082292666709)
